Disease,Symptom,Medicine,Precaution,Tests,Treatment Duration,Disease_Description,Consultation_Description,Nutrition_Description
Acne,"blackheads, pus filled pimples, scarring, skin rash","AcneStar, Benzoyl Peroxide, Retinoid","Avoid touching face frequently, Cleanse skin gently, Use oil-free skincare products","Skin examination, Blood tests (for hormonal imbalance)",1-3 months,"A common skin condition that occurs when hair follicles become clogged with oil and dead skin cells, leading to pimples, blackheads, and cysts.",Consult a dermatologist if acne persists or worsens despite over-the-counter treatments.,"Eat a balanced diet with low dairy and sugar intake, and consume foods rich in antioxidants and omega-3 fatty acids."
AIDS,"extra marital contacts, muscle wasting, patches in throat","Kaletra, Efavirenz, Zidovudine","Use protection during sex, Regular health check-ups, Avoid contact with blood","HIV test (ELISA, Western Blot), CD4 count, Viral load test",Lifelong,"A life-threatening condition caused by the human immunodeficiency virus (HIV), which attacks the immune system and reduces the body's ability to fight infections.",Consult an infectious disease specialist for proper treatment and management.,"Maintain a nutrient-rich diet with high protein intake, and include fresh fruits and vegetables to support immunity."
Allergy,"chills, continuous sneezing, shivering, watering from eyes","Cetirizine, Loratadine, Fexofenadine","Avoid allergens, Use air purifiers, Keep windows closed during pollen season","Skin prick test, Blood tests (IgE levels)",Ongoing (seasonal or as needed),"An immune system overreaction to allergens such as pollen, dust, food, or pet dander, causing symptoms like sneezing, itching, and watery eyes.",Consult an allergist for tests and long-term management strategies.,"Consume anti-inflammatory foods such as turmeric, ginger, and vitamin C-rich fruits to reduce allergic reactions."
Arthritis,"movement stiffness, muscle weakness, painful walking, stiff neck, swelling joints","Ibuprofen, Naproxen, Diclofenac","Exercise regularly, Maintain healthy weight, Avoid prolonged inactivity","X-ray, MRI, Blood tests (Rheumatoid factor, ESR)",Ongoing (chronic condition),"A condition causing inflammation of the joints, leading to pain, stiffness, and decreased mobility.",Consult a rheumatologist for diagnosis and management strategies.,"Eat foods rich in omega-3 fatty acids, such as fish and nuts, and avoid processed foods that may trigger inflammation."
Asthma,"shortness of breath, wheezing, chest tightness, coughing, chronic coughing, phlegm production, chest discomfort","Salbutamol, Montelukast, Beclometasone","Avoid smoke and dust, Monitor breathing regularly, Keep inhaler nearby","Spirometry, Peak flow measurement, Blood tests (IgE levels)",Ongoing (chronic condition),"A chronic condition that affects the airways, causing difficulty in breathing due to inflammation and narrowing of the bronchial tubes.",Consult a pulmonologist for proper medication and breathing exercises.,"Consume foods rich in vitamin D and antioxidants, and avoid dairy and processed foods that may worsen symptoms."
Bipolar Disorder,"mood swings, manic episodes, depressive episodes","Lithium, Valproate, Quetiapine","Stay consistent with medication, Avoid alcohol, Get adequate sleep","Psychological evaluation, Blood tests (Thyroid function)",Ongoing (chronic condition),"A mental health disorder characterized by extreme mood swings, including emotional highs (mania) and lows (depression).",Consult a psychiatrist for therapy and medication management.,"Maintain a diet rich in omega-3 fatty acids, whole grains, and lean proteins to support brain health."
Breast Cancer,"lump in breast, nipple changes, skin changes, extreme thirst, blurry vision, excessive urination","Tamoxifen, Letrozole, Anastrozole","Regular mammograms, Maintain a healthy lifestyle, Avoid alcohol and smoking","Mammogram, Biopsy, Ultrasound",6-12 months (follow-up treatment may continue),A type of cancer that forms in the breast cells and can spread to other parts of the body if untreated.,Consult an oncologist for proper diagnosis and treatment options.,"Consume a diet rich in antioxidants, fiber, and healthy fats, and avoid processed meats and excessive sugar."
Bronchial Asthma,"breathlessness, cough, family history, fatigue, high fever, mucoid sputum","Albuterol, Fluticasone, Salmeterol","Avoid exposure to cold air, Limit exposure to smoke, Maintain a clean living environment","Spirometry, Chest X-ray, Peak flow measurement",Ongoing (chronic condition),"A respiratory condition that causes airway inflammation, leading to difficulty breathing and wheezing.",Consult a pulmonologist for treatment and inhaler management.,"Eat anti-inflammatory foods such as ginger, garlic, and omega-3-rich foods, and avoid dairy and processed foods."
Bronchitis,"cough, mucus production, fatigue, chest discomfort, unexplained bruising, bone fractures, joint pain","Amoxicillin, Doxycycline, Azithromycin","Stay hydrated, Avoid irritants like smoke, Take rest","Chest X-ray, Sputum culture, Pulmonary function tests",2-4 weeks,"Inflammation of the bronchial tubes, causing coughing, mucus production, and breathing difficulties.",Consult a general physician for proper antibiotics and symptom management.,"Increase fluid intake, consume honey and ginger, and avoid alcohol and processed foods."
Cervical spondylosis,"back pain, dizziness, loss of balance, neck pain, weakness in limbs","Ibuprofen, Diclofenac, Naproxen","Avoid heavy lifting, Practice proper posture, Do neck exercises","X-ray, MRI, CT scan",Ongoing (long-term management),"A degenerative condition affecting the cervical spine, leading to neck pain, stiffness, and reduced mobility.",Consult an orthopedic specialist for physiotherapy and pain management.,"Consume foods rich in calcium and vitamin D, and maintain a healthy weight to reduce strain on the spine."
Chicken pox,"fatigue, headache, high fever, lethargy, loss of appetite, malaise, mild fever, red spots over body, skin rash, swelled lymph nodes, itching","Acyclovir, Paracetamol, Calamine Lotion","Avoid scratching, Keep skin clean, Isolate from others to prevent spread","Physical examination, PCR test",1-2 weeks,"A contagious viral infection causing an itchy rash and flu-like symptoms, primarily affecting children.",Consult a general physician or pediatrician for symptomatic relief and antiviral treatment if severe.,"Eat soft, easy-to-digest foods, stay hydrated, and consume vitamin C-rich fruits to boost immunity."
Chickenpox,"itchy rash, fever, fatigue, blisters, persistent cough, wheezing, chest tightness","Acyclovir, Paracetamol, Ibuprofen","Rest at home, Keep rash clean and dry, Avoid close contact with others","Physical examination, PCR test",1-2 weeks,A highly contagious viral disease characterized by an itchy rash and flu-like symptoms.,Consult a general practitioner for supportive care and antiviral medication in severe cases.,"Stay hydrated, consume immune-boosting foods like citrus fruits, and avoid spicy or acidic foods."
Cholera,"severe diarrhea, dehydration, abdominal cramps, vomiting, rapid heart rate, sunken eyes","Oral Rehydration Solution, Ciprofloxacin, Tetracycline","Drink clean water, Wash hands regularly, Avoid contaminated food","Stool culture, Blood tests (electrolyte imbalance)",1-2 weeks,"A bacterial infection causing severe diarrhea and dehydration, often due to contaminated water or food.",Seek immediate medical attention for rehydration therapy and antibiotics.,"Consume oral rehydration salts, probiotics, and easily digestible foods like bananas and rice."
Chronic cholestasis,"abdominal pain, loss of appetite, nausea, vomiting, yellowing of eyes, yellowish skin, itching","Ursodeoxycholic Acid, Cholestyramine, Prednisolone","Avoid fatty foods, Maintain a low-fat diet, Regular liver function tests","Liver function tests, Ultrasound, MRI",2-4 weeks,"A condition involving reduced bile flow from the liver, leading to jaundice and digestive issues.",Consult a hepatologist for liver function monitoring and symptom management.,"Follow a low-fat diet, avoid alcohol, and consume fiber-rich and antioxidant-rich foods."
Chronic Obstructive Pulmonary Disease (COPD),"chronic cough, shortness of breath, wheezing, abdominal bloating, diarrhea, foul-smelling stool","Salbutamol, Tiotropium, Fluticasone","Quit smoking, Avoid respiratory irritants, Stay physically active","Spirometry, Chest X-ray, CT scan",Ongoing (chronic condition),A chronic lung disease causing airflow obstruction and breathing difficulties.,Consult a pulmonologist for medication and breathing therapy.,"Eat anti-inflammatory foods, maintain hydration, and consume omega-3-rich foods."
Colorectal Cancer,"blood in stool, weight loss, abdominal pain","Fluorouracil, Leucovorin, Oxaliplatin","Get regular screenings, Maintain a healthy diet, Exercise regularly","Colonoscopy, Biopsy, CT scan",6-12 months (follow-up treatment may continue),"A type of cancer affecting the colon or rectum, often detected through screening tests.",Consult an oncologist for treatment options including chemotherapy and surgery.,"Increase fiber intake, consume antioxidant-rich foods, and avoid red and processed meats."
Common Cold,"chest pain, chills, congestion, continuous sneezing, cough, fatigue, headache, high fever, loss of smell, malaise, muscle pain, phlegm, redness of eyes, runny nose, sinus pressure, swelled lymph nodes, throat irritation,cold","Paracetamol, Ibuprofen, Pseudoephedrine","Wash hands frequently, Rest and hydrate, Avoid contact with others","Physical examination, Nasal swab (for viral testing)",1-2 weeks,"A viral infection causing respiratory symptoms like sneezing, congestion, and cough.",Consult a general physician for symptom management and relief.,"Stay hydrated, consume warm fluids, and eat vitamin C-rich foods to boost immunity."
COVID-19,"fever, cough, shortness of breath, loss of taste/smell, fatigue","Paracetamol, Ivermectin, Remdesivir","Wear a mask, Maintain social distancing, Wash hands regularly","PCR test, Chest X-ray, Blood tests (for inflammation markers)",2-6 weeks,"A contagious viral infection affecting the respiratory system, caused by SARS-CoV-2.",Consult an infectious disease specialist for proper treatment and monitoring.,"Consume immune-boosting foods, stay hydrated, and avoid processed foods."
Crohn's Disease,"diarrhea, abdominal pain, weight loss, fatigue, unusual bleeding, dark spots, fever","Mesalamine, Prednisone, Azathioprine","Avoid trigger foods, Stay hydrated, Manage stress","Endoscopy, Colonoscopy, Blood tests (for inflammation)",Ongoing (chronic condition),A chronic inflammatory bowel disease affecting the digestive tract.,Consult a gastroenterologist for medication and dietary management.,"Eat low-residue foods, avoid dairy and fried foods, and stay hydrated."
Cushing's Syndrome,"weight gain, moon face, fatigue, high blood pressure, abdominal discomfort, bloating, gas, diarrhea","Ketoconazole, Metyrapone, Mitotane","Reduce salt intake, Regular exercise, Monitor blood pressure","Blood tests (ACTH levels, cortisol levels), CT scan, MRI","Variable (depends on the cause, from months to lifelong)",A hormonal disorder caused by prolonged exposure to high cortisol levels.,Consult an endocrinologist for hormone level monitoring and treatment.,"Reduce sodium intake, consume potassium-rich foods, and maintain a balanced diet."
Dengue,"back pain, chills, fatigue, headache, high fever, joint pain, loss of appetite, malaise, muscle pain, nausea, pain behind the eyes, red spots over body, skin rash, vomiting","Paracetamol, Ibuprofen, Diphenhydramine","Stay hydrated, Avoid mosquito bites, Rest","Dengue NS1 antigen test, Platelet count, CBC (Complete blood count)",2-3 weeks,"A mosquito-borne viral infection causing flu-like symptoms and, in severe cases, hemorrhagic fever.",Consult a physician for fever management and platelet count monitoring.,"Consume electrolyte-rich fluids, papaya leaves extract, and vitamin C-rich fruits to boost immunity."
Dengue Fever,"high fever, severe headache, joint/muscle pain, skin rash, bleeding, rash, bleeding gums, low platelet count","Paracetamol, Orals Rehydration Solution, Diphenhydramine","Rest and hydrate, Avoid mosquito exposure, Monitor platelet count","Dengue NS1 antigen test, Platelet count, CBC",2-3 weeks,A severe form of dengue with potential bleeding complications and low platelet count.,Seek immediate medical attention for supportive care and fluid replacement.,"Drink fresh juices, coconut water, and eat iron-rich foods to support platelet production."
Depression,"persistent sadness, loss of interest, fatigue, insomnia","Fluoxetine, Sertraline, Citalopram","Get enough rest, Stay active, Seek professional support","Psychological evaluation, Blood tests (Thyroid function)",6-12 months,A mental health disorder characterized by persistent sadness and loss of interest.,Consult a psychiatrist or psychologist for therapy and medication.,"Include omega-3 fatty acids, vitamin D, and protein-rich foods in diet to support brain health."
Diabetes,"blurred and distorted vision, excessive hunger, fatigue, increased appetite, irregular sugar level, lethargy, obesity, polyuria, restlessness, weight loss","Metformin, Insulin, Glimepiride","Maintain a balanced diet, Exercise regularly, Monitor blood sugar","Fasting blood glucose, HbA1c, Oral glucose tolerance test",Lifelong,A metabolic disorder causing high blood sugar levels due to insulin resistance or deficiency.,Consult an endocrinologist for glucose level management and treatment.,"Follow a low-carb, high-fiber diet and avoid sugary foods."
Dimorphic hemorrhoids(piles),"bloody stool, constipation, irritation in anus, pain during bowel movements, pain in anal region","Hydrocortisone, Witch Hazel, Diosmin","Eat fiber-rich foods, Stay hydrated, Avoid straining during bowel movements","Physical examination, Anoscopy, Colonoscopy",2-4 weeks,A condition where swollen veins in the rectum or anus cause pain and bleeding.,Consult a proctologist for diagnosis and treatment options.,"Consume high-fiber foods, drink plenty of water, and avoid spicy foods."
Drug Reaction,"burning micturition, skin rash, spotting urination, stomach pain, itching","Diphenhydramine, Cetirizine, Hydrocortisone","Identify and avoid triggering drugs, Seek medical help promptly, Stay hydrated","Blood tests (liver function, kidney function), Skin biopsy","Variable (depends on severity, from days to months)","An adverse reaction to medication, causing allergic symptoms or organ damage.",Seek immediate medical attention for identifying the drug causing reaction.,Maintain hydration and consume anti-inflammatory foods like turmeric and ginger.
Eczema,"itchy, red, inflamed skin, dryness, severe body aches, joint stiffness, redness of eyes","Hydrocortisone, Triamcinolone, Tacrolimus","Avoid irritants, Keep skin moisturized, Take lukewarm showers","Skin examination, Patch test, Blood tests (IgE levels)",Ongoing (flare-ups managed with treatment),"A chronic skin condition causing inflammation, itching, and redness.",Consult a dermatologist for prescription creams and management strategies.,"Include omega-3 fatty acids, vitamin E, and anti-inflammatory foods in diet."
Esophageal Cancer,"difficulty swallowing, chest pain, hoarseness","Paclitaxel, Cisplatin, Fluorouracil","Avoid acidic foods, Eat smaller meals, Quit smoking","Endoscopy, Biopsy, CT scan",6-12 months (with potential for lifelong monitoring),"A cancer affecting the esophagus, causing difficulty in swallowing and chest pain.","Consult an oncologist for chemotherapy, radiation, or surgical options.","Eat soft, nutrient-dense foods, avoid alcohol, and consume antioxidant-rich fruits."
Fibromyalgia,"widespread pain, fatigue, sleep disturbances, cognitive issues, burning sensation, fever, frequent urination","Amitriptyline, Duloxetine, Pregabalin","Practice relaxation techniques, Get enough rest, Exercise regularly","Physical examination, Blood tests (to rule out other conditions), Tender point examination",Ongoing (chronic condition),A chronic disorder causing widespread musculoskeletal pain and fatigue.,Consult a rheumatologist for pain management and therapy.,"Eat anti-inflammatory foods, magnesium-rich foods, and avoid processed foods."
Fungal infection,"dischromic patches, nodal skin eruptions, skin rash, itching","Clotrimazole, Terbinafine, Ketoconazole","Keep skin clean and dry, Avoid sharing personal items, Wear breathable clothing","Skin scraping, KOH test, Fungal culture",2-4 weeks,"A common infection caused by fungi affecting skin, nails, or mucous membranes.",Consult a dermatologist for antifungal treatment and preventive measures.,"Avoid sugar-rich foods, consume probiotics, and maintain hygiene."
Gastritis,"stomach pain, nausea, bloating, loss of appetite, skin rashes, swollen joints, fever","Omeprazole, Ranitidine, Pantoprazole","Avoid spicy foods, Eat smaller meals, Reduce alcohol consumption","Endoscopy, Blood tests (H. pylori antibodies), Stool test",2-4 weeks,"Inflammation of the stomach lining, which can be acute or chronic.",Consult a gastroenterologist for persistent symptoms and necessary tests.,"Eat bland foods, avoid acidic and spicy items, and consume probiotic-rich foods."
Gastroenteritis,"dehydration, diarrhoea, sunken eyes, vomiting","Loperamide, Oral Rehydration Solution, Metronidazole","Stay hydrated, Avoid dairy, Follow good hygiene practices","Stool culture, Blood tests (electrolyte imbalance), Rapid antigen test",1-2 weeks,"Infection or irritation of the stomach and intestines, often caused by viruses or bacteria.",Consult a physician if symptoms persist or dehydration occurs.,"Consume electrolyte-rich fluids, avoid solid foods initially, and eat light meals when recovering."
Gastroesophageal Reflux Disease (GERD),"heartburn, regurgitation, chest pain, intense headaches, nausea, dizziness, fainting","Omeprazole, Esomeprazole, Lansoprazole","Avoid large meals, Don't lie down after eating, Elevate head while sleeping","Endoscopy, pH monitoring, Barium swallow",Ongoing (long-term management),A chronic condition where stomach acid frequently flows back into the esophagus.,Consult a gastroenterologist for medication and lifestyle management.,"Avoid acidic, spicy, and fatty foods, eat smaller meals, and stay upright after eating."
General Fever,"elevated body temperature, shivering, sweating, feeling weak, headache, joint pain, dehydration, feeling unwell, fever, illness","Paracetamol, Ibuprofen, Aspirin","Stay hydrated, Rest, Keep cool","Physical examination, Blood tests (for infection markers), Blood cultures",1-2 weeks,A common response to infection or inflammation in the body.,Consult a general physician if the fever is persistent or very high.,"Drink plenty of fluids, eat light and nutritious foods, and avoid heavy meals."
Generalized Anxiety Disorder,"excessive worry, restlessness, fatigue, muscle tension","Sertraline, Diazepam, Buspirone","Practice mindfulness, Get adequate sleep, Avoid caffeine","Psychological evaluation, Blood tests (Thyroid function)",6-12 months,A mental health condition characterized by chronic anxiety and excessive worry.,Seek help from a psychiatrist or psychologist for therapy and medication.,"Avoid caffeine and alcohol, eat a balanced diet, and practice relaxation techniques."
GERD,"acidity, chest pain, cough, stomach pain, ulcers on tongue, vomiting","Omeprazole, Lansoprazole, Pantoprazole","Avoid acidic foods, Eat smaller meals, Avoid lying down after meals","Endoscopy, pH monitoring, Barium swallow",Ongoing (long-term management),A digestive disorder where stomach acid irritates the esophageal lining.,Consult a gastroenterologist for long-term management.,"Eat alkaline foods, avoid spicy and fatty foods, and consume more fiber."
Heart attack,"breathlessness, chest pain, sweating, vomiting","Aspirin, Clopidogrel, Nitroglycerin","Avoid stress, Exercise regularly, Follow a heart-healthy diet","ECG, Cardiac enzyme tests (troponin), Angiogram","Immediate treatment, followed by lifelong management",A medical emergency where blood flow to the heart is blocked.,Seek immediate emergency medical attention.,Follow a heart-healthy diet with low sodium and saturated fats.
Heart Failure,"shortness of breath, swelling, fatigue, rapid heartbeat, breathing difficulty, joint inflammation, rash","Furosemide, Spironolactone, Lisinopril","Limit salt intake, Monitor fluid retention, Get regular check-ups","Echocardiogram, Chest X-ray, Blood tests (BNP)",Ongoing (chronic condition),A chronic condition where the heart is unable to pump blood effectively.,Consult a cardiologist for ongoing treatment and monitoring.,"Reduce sodium intake, eat potassium-rich foods, and stay hydrated."
Hepatitis A,"abdominal pain, dark urine, diarrhoea, joint pain, loss of appetite, mild fever, muscle pain, nausea, vomiting, yellowing of eyes, yellowish skin","Immunoglobulin, Ribavirin, Interferon","Avoid contaminated food, Wash hands regularly, Get vaccinated","Liver function tests, Hepatitis A antibody test, Ultrasound",6-8 weeks,A viral liver infection causing inflammation and jaundice.,Consult a hepatologist for monitoring and treatment.,"Eat a liver-friendly diet, avoid alcohol, and consume antioxidant-rich foods."
Hepatitis A/B/C,"jaundice, fatigue, abdominal pain, dark urine, nausea, loss of appetite, fever, nausea, clay-colored stool","Interferon, Ribavirin, Lamivudine","Avoid alcohol, Practice safe sex, Get vaccinated","Liver function tests, Hepatitis A, B, and C antibody tests, Ultrasound","Variable (depends on type and severity, from months to lifelong)",Inflammatory conditions of the liver caused by different viruses.,Consult a hepatologist for type-specific treatment.,"Follow a liver-friendly diet, avoid processed foods, and stay hydrated."
Hepatitis B,"abdominal pain, dark urine, fatigue, lethargy, loss of appetite, malaise, receiving blood transfusion, receiving unsterile injections, yellow urine, yellowing of eyes, yellowish skin, itching","Tenofovir, Entecavir, Lamivudine","Avoid sharing needles, Regular liver check-ups, Avoid alcohol","Hepatitis B surface antigen test, Liver function tests, HBV DNA test",Ongoing (lifelong treatment may be needed),"Hepatitis B is a serious liver infection caused by the hepatitis B virus (HBV), which can become chronic and lead to liver disease or cancer.",Consult a hepatologist for regular liver function monitoring and antiviral therapy if needed.,"Maintain a balanced diet with lean proteins, whole grains, and plenty of fruits and vegetables while avoiding alcohol and high-fat foods."
Hepatitis C,"family history, fatigue, loss of appetite, nausea, yellowing of eyes, yellowish skin","Sofosbuvir, Ledipasvir, Ribavirin","Avoid alcohol, Get vaccinated, Regular monitoring of liver health","HCV RNA test, Hepatitis C antibody test, Liver biopsy",Ongoing (lifelong treatment in some cases),"Hepatitis C is a viral infection that causes liver inflammation, sometimes leading to serious liver damage.",Consult a specialist to discuss antiviral therapy and monitor liver health regularly.,"Eat a healthy diet rich in antioxidants and lean proteins while avoiding processed foods, alcohol, and excessive fats."
Hepatitis D,"abdominal pain, dark urine, fatigue, joint pain, loss of appetite, nausea, vomiting, yellowing of eyes, yellowish skin","Interferon, Ribavirin, Lamivudine","Avoid alcohol, Maintain a healthy lifestyle, Get vaccinated","HDV RNA test, Hepatitis D antibody test, Liver function tests",Variable (from months to lifelong treatment),Hepatitis D is a liver disease caused by the hepatitis D virus (HDV) and only occurs in those infected with hepatitis B.,Consult with a hepatologist for combination antiviral treatments and regular liver function tests.,Focus on a nutrient-dense diet with adequate hydration and avoid hepatotoxic substances like alcohol.
Hepatitis E,"abdominal pain, acute liver failure, coma, dark urine, fatigue, high fever, joint pain, loss of appetite, nausea, stomach bleeding, vomiting, yellowing of eyes, yellowish skin","Ribavirin, Interferon, Vitamin K","Avoid contaminated water, Maintain proper hygiene, Avoid undercooked food","Hepatitis E antibody test, Liver function tests, Ultrasound",4-6 weeks,"Hepatitis E is a liver disease caused by the hepatitis E virus (HEV), primarily transmitted through contaminated water.",Seek immediate medical attention if symptoms worsen and focus on supportive care.,"Eat easily digestible foods like boiled vegetables, lean protein, and whole grains while avoiding fatty and fried foods."
HIV/AIDS,"fatigue, fever, swollen lymph nodes, weight loss, recurrent infections, night sweats, chronic diarrhea, mouth ulcers","Zidovudine, Lamivudine, Efavirenz","Practice safe sex, Regular medical check-ups, Avoid sharing needles","HIV antibody test, HIV RNA test, CD4 count",Lifelong treatment,"HIV/AIDS is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV) that damages the immune system.",Regular follow-ups with an infectious disease specialist for antiretroviral therapy and immune system monitoring.,"Consume a balanced diet rich in vitamins, minerals, and lean proteins while avoiding processed foods and maintaining hydration."
Hypertension,"chest pain, dizziness, headache, lack of concentration, loss of balance","Amlodipine, Losartan, Lisinopril","Reduce salt intake, Exercise regularly, Avoid stress","Blood pressure measurement, Electrocardiogram (ECG), Blood tests (kidney function)",Ongoing (lifelong management),"Hypertension is a chronic condition characterized by high blood pressure, increasing the risk of heart disease and stroke.",Consult a cardiologist for blood pressure management and lifestyle modification strategies.,"Follow a DASH diet rich in fruits, vegetables, and whole grains while reducing sodium and processed food intake."
